Id,SalePrice
1461,124915.77505667458
1462,152127.69187286048
1463,175044.7005816607
1464,184953.7647443523
1465,203183.23059676442
1466,170921.20342731883
1467,164854.61220940461
1468,161801.005808319
1469,203785.45857686026
1470,113483.32287245007
1471,185932.38230716396
1472,108018.72226972735
1473,103266.90773625263
1474,147689.2501215567
1475,142661.7440843053
1476,357579.4449752618
1477,259692.9820846206
1478,302281.5682871597
1479,311642.7795952491
1480,427937.24775433616
1481,312701.7830384855
1482,218797.38358962932
1483,163501.5055763587
1484,173149.63965649248
1485,191914.3820966854
1486,193537.60368403327
1487,313352.07052200136
1488,242333.86169234267
1489,198555.2329512233
1490,204018.8958425914
1491,192939.65733211508
1492,103301.73211816701
1493,199686.96041632522
1494,289198.6639231119
1495,282875.4989776187
1496,220819.46588674837
1497,176735.83790055916
1498,152026.66168903493
1499,152026.66168903493
1500,131493.4415200149
1501,158795.5114257444
1502,151908.40050311477
1503,291791.36809384887
1504,248841.85467060396
1505,223049.77045449204
1506,179572.1526133087
1507,225399.84664239612
1508,193263.12613063894
1509,153017.18680212682
1510,135799.16409642313
1511,134598.3067959955
1512,157160.97981035578
1513,153296.97787617185
1514,149537.17728609013
1515,183633.03227503327
1516,156414.90662793798
1517,174655.16116518062
1518,138264.36465426482
1519,211664.58241924364
1520,128561.77182689507
1521,135643.6314976783
1522,175591.0372701268
1523,109886.96257878446
1524,128790.77420041391
1525,121515.58872071904
1526,124271.41206181273
1527,109422.37717857897
1528,137419.8529593078
1529,137188.28667859078
1530,162536.0671316872
1531,126586.88767692205
1532,103643.73529408163
1533,120982.34265865538
1534,121425.36711293607
1535,153693.65382514053
1536,119961.59100926762
1537,69926.97039576569
1538,172186.13884201148
1539,222112.6222938109
1540,102375.63046459717
1541,141791.86104290196
1542,129805.95885291068
1543,195813.46897483262
1544,79784.17500928105
1545,116421.60761835038
1546,126727.18646824252
1547,124197.53858555038
1548,125957.12163943947
1549,104576.61518473804
1550,127886.21413345292
1551,123821.35180980025
1552,132151.26267819895
1553,147615.23892013193
1554,121484.14208638972
1555,167545.01292003976
1556,82676.4557820673
1557,101875.83710129593
1558,100468.32315312758
1559,86867.96817197494
1560,122007.55494206761
1561,112536.85409775024
1562,133564.11377834884
1563,124481.42779706369
1564,148253.55284708113
1565,144453.85219003615
1566,234965.16621097657
1567,79679.14156632453
1568,205297.29721045692
1569,133854.26011532175
1570,154108.49602614186
1571,139684.2593547129
1572,142276.29040148552
1573,257226.0945144418
1574,108620.22544186302
1575,216652.82844735967
1576,203208.0061504896
1577,199944.16057179487
1578,145546.88826150371
1579,138181.58707000694
1580,205254.6511083593
1581,152520.84997253373
1582,120745.43794112343
1583,277746.5279251809
1584,225910.65395252127
1585,135393.35192697204
1586,79312.38016648084
1587,115036.44482728095
1588,144414.3872791948
1589,94770.35144425376
1590,144188.58057216785
1591,96634.55703925969
1592,118990.91092640866
1593,131804.00920865763
1594,155764.352739569
1595,107820.85009943918
1596,224492.55495877602
1597,177849.55004656155
1598,218499.84661568163
1599,193858.74898534652
1600,198516.83631626167
1601,69961.7384497973
1602,129452.21444366394
1603,102715.02904193582
1604,270919.9317209288
1605,251650.19531894452
1606,162123.77748907742
1607,185905.29232497638
1608,213747.6631050774
1609,196799.43461716833
1610,146174.5773846919
1611,147890.58152454672
1612,169725.13270364606
1613,157296.6381644991
1614,126264.15144923468
1615,93839.1071436614
1616,83827.16467188064
1617,97450.6696064067
1618,126145.45588897151
1619,135345.30019266953
1620,139956.4416143871
1621,138150.8800365706
1622,137479.48442604678
1623,285106.741067191
1624,197374.38029437678
1625,130780.58137307286
1626,168141.19832803574
1627,180242.3064759655
1628,276028.22267349553
1629,202204.91702358017
1630,314337.8596209612
1631,235382.51263935678
1632,246318.50626886566
1633,185876.1028267137
1634,176187.20404049542
1635,178864.16603172928
1636,160803.11182834208
1637,174718.0387013768
1638,223770.0295878102
1639,183391.6657603899
1640,282959.6812286997
1641,186358.23840851773
1642,214450.26676654263
1643,241653.0739791276
1644,247958.54838027107
1645,173023.68375389368
1646,155547.42099538312
1647,182857.19167240002
1648,129046.9271247647
1649,132481.97657591768
1650,108504.82307986628
1651,122273.94038376468
1652,106394.63544821115
1653,107421.34189425735
1654,150017.43344152177
1655,162997.433610472
1656,145753.346102791
1657,150017.43344152177
1658,145753.346102791
1659,145358.62149541877
1660,150757.2714645546
1661,395314.7408359842
1662,427632.9921412509
1663,369200.8259947917
1664,425239.4377734219
1665,311740.65552715334
1666,299978.42897106515
1667,345219.8151847834
1668,319993.56597182155
1669,297140.5338676765
1670,352663.6888505841
1671,232634.558510226
1672,358264.2527116606
1673,276985.8184607171
1674,246071.39900473758
1675,162651.75780056085
1676,160819.7742905208
1677,205882.8365973605
1678,371845.49856957374
1679,341592.65767577424
1680,346799.0186684836
1681,273302.29724865727
1682,301811.43469579594
1683,175784.03384912334
1684,188311.50717559693
1685,170894.5358976438
1686,183627.62780285432
1687,175858.05407031518
1688,193537.60368403327
1689,201667.61519277183
1690,209349.99820190322
